resultId,raceId,driverId,number,grid,position,positionOrder,points,laps,fastestLapOrder,fastestLapTime,statusId
23379,969,20,5,2,1,1,25,57,3,1:26.638,1
23380,969,1,44,1,2,2,18,57,6,1:27.033,1
23381,969,822,77,3,3,3,15,57,2,1:26.593,1
23382,969,8,7,4,4,4,12,57,1,1:26.538,1
23383,969,830,33,5,5,5,10,57,5,1:26.964,1
23384,969,13,19,7,6,6,8,57,9,1:28.045,1
23385,969,815,11,10,7,7,6,56,10,1:28.336,11
23386,969,832,55,8,8,8,4,56,8,1:27.677,11
23387,969,826,26,9,9,9,2,56,4,1:26.711,11
23388,969,839,31,13,10,10,1,56,11,1:28.475,11
23389,969,807,27,11,11,11,0,56,12,1:28.486,11
23390,969,841,36,16,12,12,0,55,13,1:29.052,12
23391,969,838,2,18,13,13,0,55,15,1:29.440,12
23392,969,4,14,12,\N,14,0,50,17,1:30.077,76
23393,969,825,20,17,\N,15,0,46,7,1:27.568,22
23394,969,840,18,20,\N,16,0,40,14,1:29.389,23
23395,969,817,3,0,\N,17,0,25,16,1:29.447,131
23396,969,828,9,14,\N,18,0,21,19,1:32.052,9
23397,969,835,30,19,\N,19,0,15,20,1:32.195,23
23398,969,154,8,6,\N,20,0,13,18,1:30.183,47
23399,970,1,44,1,1,1,25,56,1,1:35.378,1
23400,970,20,5,2,2,2,18,56,2,1:35.423,1
23401,970,830,33,16,3,3,15,56,7,1:36.722,1
23402,970,817,3,5,4,4,12,56,8,1:36.791,1
23403,970,8,7,4,5,5,10,56,4,1:36.003,1
23404,970,822,77,3,6,6,8,56,3,1:35.849,1
23405,970,832,55,11,7,7,6,56,10,1:37.398,1
23406,970,825,20,12,8,8,4,55,11,1:37.528,11
23407,970,815,11,8,9,9,2,55,6,1:36.531,11
23408,970,839,31,17,10,10,1,55,9,1:37.036,11
23409,970,154,8,19,11,11,0,55,12,1:37.551,11
23410,970,807,27,7,12,12,0,55,13,1:38.015,11
23411,970,835,30,20,13,13,0,55,14,1:38.181,11
23412,970,13,19,6,14,14,0,55,5,1:36.511,11
23413,970,828,9,14,15,15,0,55,16,1:39.732,11
23414,970,4,14,13,\N,16,0,33,15,1:39.496,30
23415,970,826,26,9,\N,17,0,18,17,1:40.090,9
23416,970,838,2,15,\N,18,0,17,18,1:41.460,32
23417,970,841,36,18,\N,19,0,3,0,\N,3
23418,970,840,18,10,\N,20,0,0,0,\N,4
23419,971,20,5,3,1,1,25,57,4,1:33.826,1
23420,971,1,44,2,2,2,18,57,1,1:32.798,1
23421,971,822,77,1,3,3,15,57,5,1:34.087,1
23422,971,8,7,5,4,4,12,57,3,1:33.720,1
23423,971,817,3,4,5,5,10,57,2,1:33.495,1
23424,971,13,19,8,6,6,8,57,6,1:34.256,1
23425,971,815,11,18,7,7,6,57,7,1:34.609,1
23426,971,154,8,9,8,8,4,57,8,1:34.948,1
23427,971,807,27,7,9,9,2,57,12,1:35.372,1
23428,971,839,31,14,10,10,1,57,11,1:35.179,1
23429,971,836,94,13,11,11,0,56,17,1:36.786,11
23430,971,826,26,11,12,12,0,56,9,1:34.985,11
23431,971,835,30,10,13,13,0,56,13,1:35.552,11
23432,971,4,14,15,14,14,0,54,14,1:35.595,131
23433,971,828,9,19,\N,15,0,50,10,1:35.086,6
23434,971,832,55,16,\N,16,0,12,18,1:38.026,4
23435,971,840,18,12,\N,17,0,12,15,1:36.303,4
23436,971,830,33,6,\N,18,0,11,16,1:36.681,23
23437,971,825,20,20,\N,19,0,8,19,1:38.718,10
23438,971,838,2,17,\N,20,0,0,0,\N,131
23439,972,822,77,3,1,1,25,52,3,1:37.367,1
23440,972,20,5,1,2,2,18,52,2,1:37.312,1
23441,972,8,7,2,3,3,15,52,1,1:36.844,1
23442,972,1,44,4,4,4,12,52,6,1:38.398,1
23443,972,830,33,7,5,5,10,52,8,1:38.429,1
23444,972,815,11,9,6,6,8,52,9,1:38.661,1
23445,972,839,31,10,7,7,6,52,10,1:38.745,1
23446,972,807,27,8,8,8,4,52,7,1:38.418,1
23447,972,13,19,6,9,9,2,51,4,1:38.232,11
23448,972,832,55,14,10,10,1,51,11,1:38.858,11
23449,972,840,18,11,11,11,0,51,12,1:38.870,11
23450,972,826,26,12,12,12,0,51,5,1:38.300,11
23451,972,825,20,13,13,13,0,51,13,1:39.566,11
23452,972,838,2,20,14,14,0,51,14,1:39.790,11
23453,972,828,9,18,15,15,0,51,15,1:39.835,11
23454,972,836,94,17,16,16,0,50,16,1:40.922,12
23455,972,817,3,5,\N,17,0,5,17,1:42.285,23
23456,972,835,30,16,\N,18,0,0,0,\N,4
23457,972,154,8,19,\N,19,0,0,0,\N,4
23458,972,4,14,15,\N,20,0,0,0,\N,131
23459,973,1,44,1,1,1,25,66,1,1:23.593,1
23460,973,20,5,2,2,2,18,66,2,1:23.674,1
23461,973,817,3,6,3,3,15,66,3,1:23.686,1
23462,973,815,11,8,4,4,12,65,7,1:25.755,11
23463,973,839,31,10,5,5,10,65,11,1:26.276,11
23464,973,807,27,13,6,6,8,65,15,1:26.703,11
23465,973,832,55,12,7,7,6,65,9,1:26.186,11
23466,973,836,94,15,8,8,4,65,14,1:26.476,11
23467,973,826,26,19,9,9,2,65,8,1:25.976,11
23468,973,154,8,14,10,10,1,65,17,1:26.871,11
23469,973,828,9,16,11,11,0,64,10,1:26.213,12
23470,973,4,14,7,12,12,0,64,4,1:23.894,12
23471,973,13,19,9,13,13,0,64,13,1:26.472,12
23472,973,825,20,11,14,14,0,64,12,1:26.371,12
23473,973,835,30,17,15,15,0,64,6,1:24.843,12
23474,973,840,18,18,16,16,0,64,16,1:26.838,12
23475,973,822,77,3,\N,17,0,38,5,1:24.696,131
23476,973,838,2,20,\N,18,0,32,18,1:27.554,4
23477,973,830,33,5,\N,19,0,1,0,\N,130
23478,973,8,7,4,\N,20,0,0,0,\N,130
23479,974,20,5,2,1,1,25,78,2,1:15.238,1
23480,974,8,7,1,2,2,18,78,3,1:15.527,1
23481,974,817,3,5,3,3,15,78,4,1:15.756,1
23482,974,822,77,3,4,4,12,78,9,1:16.439,1
23483,974,830,33,4,5,5,10,78,8,1:16.329,1
23484,974,832,55,6,6,6,8,78,14,1:16.649,1
23485,974,1,44,13,7,7,6,78,5,1:15.825,1
23486,974,154,8,8,8,8,4,78,18,1:17.095,1
23487,974,13,19,14,9,9,2,78,12,1:16.543,1
23488,974,825,20,11,10,10,1,78,7,1:16.313,1
23489,974,835,30,16,11,11,0,78,13,1:16.614,1
23490,974,839,31,15,12,12,0,78,10,1:16.482,1
23491,974,815,11,7,13,13,0,78,1,1:14.820,1
23492,974,826,26,9,14,14,0,71,11,1:16.539,130
23493,974,840,18,17,15,15,0,71,6,1:16.075,23
23494,974,838,2,12,\N,16,0,66,15,1:16.665,3
23495,974,828,9,19,\N,17,0,63,16,1:16.829,3
23496,974,18,22,20,\N,18,0,57,17,1:16.912,130
23497,974,836,94,18,\N,19,0,57,20,1:18.034,4
23498,974,807,27,10,\N,20,0,15,19,1:17.885,6
23499,975,1,44,1,1,1,25,70,1,1:14.551,1
23500,975,822,77,3,2,2,18,70,5,1:15.894,1
23501,975,817,3,6,3,3,15,70,8,1:16.165,1
23502,975,20,5,2,4,4,12,70,2,1:14.719,1
23503,975,815,11,8,5,5,10,70,11,1:16.367,1
23504,975,839,31,9,6,6,8,70,9,1:16.247,1
23505,975,8,7,4,7,7,6,70,3,1:15.388,1
23506,975,807,27,10,8,8,4,70,7,1:16.136,1
23507,975,840,18,17,9,9,2,69,6,1:15.979,11
23508,975,154,8,14,10,10,1,69,15,1:16.949,11
23509,975,835,30,15,11,11,0,69,12,1:16.704,11
23510,975,825,20,18,12,12,0,69,10,1:16.341,11
23511,975,828,9,19,13,13,0,69,16,1:16.995,11
23512,975,838,2,16,14,14,0,69,14,1:16.774,11
23513,975,836,94,20,15,15,0,68,17,1:17.091,12
23514,975,4,14,12,16,16,0,66,4,1:15.853,131
23515,975,826,26,11,\N,17,0,54,13,1:16.713,131
23516,975,830,33,5,\N,18,0,10,18,1:17.187,10
23517,975,13,19,7,\N,19,0,0,0,\N,4
23518,975,832,55,13,\N,20,0,0,0,\N,4
23519,976,817,3,10,1,1,25,51,4,1:44.882,1
23520,976,822,77,2,2,2,18,51,3,1:43.925,1
23521,976,840,18,8,3,3,15,51,5,1:45.108,1
23522,976,20,5,4,4,4,12,51,1,1:43.441,1
23523,976,1,44,1,5,5,10,51,2,1:43.469,1
23524,976,839,31,7,6,6,8,51,9,1:45.634,1
