resultId,raceId,driverId,number,grid,position,positionOrder,points,laps,fastestLapTime,statusId
1,1061,830,33,2,1,1,3,17,1:30.013,1
2,1061,1,44,1,2,2,2,17,1:29.937,1
3,1061,822,77,3,3,3,1,17,1:29.958,1
4,1061,844,16,4,4,4,0,17,1:30.163,1
5,1061,846,4,6,5,5,0,17,1:30.566,1
6,1061,817,3,7,6,6,0,17,1:30.640,1
7,1061,4,14,11,7,7,0,17,1:31.773,1
8,1061,20,5,10,8,8,0,17,1:31.687,1
9,1061,847,63,8,9,9,0,17,1:32.208,1
10,1061,839,31,13,10,10,0,17,1:32.183,1
11,1061,832,55,9,11,11,0,17,1:31.991,1
12,1061,842,10,12,12,12,0,17,1:32.072,1
13,1061,8,7,17,13,13,0,17,1:32.139,1
14,1061,840,18,15,14,14,0,17,1:32.210,1
15,1061,841,99,14,15,15,0,17,1:32.457,1
16,1061,852,22,16,16,16,0,17,1:32.270,1
17,1061,849,6,18,17,17,0,17,1:32.143,1
18,1061,854,47,19,18,18,0,17,1:32.567,1
19,1061,853,9,20,19,19,0,17,1:33.462,1
20,1061,815,11,5,\N,20,0,16,1:31.465,76
21,1065,822,77,1,1,1,3,18,1:23.540,1
22,1065,830,33,3,2,2,2,18,1:23.502,1
23,1065,817,3,5,3,3,1,18,1:24.291,1
24,1065,846,4,4,4,4,0,18,1:24.554,1
25,1065,1,44,2,5,5,0,18,1:24.253,1
26,1065,844,16,8,6,6,0,18,1:24.677,1
27,1065,832,55,7,7,7,0,18,1:24.918,1
28,1065,841,99,10,8,8,0,18,1:25.126,1
29,1065,815,11,9,9,9,0,18,1:24.211,1
30,1065,840,18,12,10,10,0,18,1:25.349,1
31,1065,4,14,13,11,11,0,18,1:25.225,1
32,1065,20,5,11,12,12,0,18,1:25.493,1
33,1065,839,31,14,13,13,0,18,1:25.613,1
34,1065,849,6,16,14,14,0,18,1:25.711,1
35,1065,847,63,15,15,15,0,18,1:25.835,1
36,1065,852,22,17,16,16,0,18,1:25.847,1
37,1065,853,9,20,17,17,0,18,1:26.613,1
38,1065,9,88,19,18,18,0,18,1:26.772,1
39,1065,854,47,18,19,19,0,18,1:26.819,1
40,1065,842,10,6,\N,20,0,0,\N,3
41,1071,822,77,2,1,1,3,24,1:12.300,1
42,1071,830,33,1,2,2,2,24,1:12.114,1
43,1071,832,55,5,3,3,1,24,1:13.167,1
44,1071,815,11,3,4,4,0,24,1:13.110,1
45,1071,1,44,20,5,5,0,24,1:12.357,1
46,1071,846,4,7,6,6,0,24,1:12.994,1
47,1071,844,16,6,7,7,0,24,1:13.140,1
48,1071,842,10,4,8,8,0,24,1:13.342,1
49,1071,839,31,10,9,9,0,24,1:13.615,1
50,1071,20,5,11,10,10,0,24,1:13.558,1
51,1071,817,3,8,11,11,0,24,1:13.463,1
52,1071,4,14,9,12,12,0,24,1:13.397,1
53,1071,841,99,14,13,13,0,24,1:13.627,1
54,1071,840,18,15,14,14,0,24,1:13.666,1
55,1071,852,22,12,15,15,0,24,1:13.747,1
56,1071,849,6,16,16,16,0,24,1:13.934,1
57,1071,847,63,17,17,17,0,24,1:14.056,1
58,1071,8,7,13,18,18,0,24,1:13.900,1
59,1071,854,47,18,19,19,0,24,1:14.387,1
60,1071,853,9,19,20,20,0,24,1:14.583,1
61,1077,830,1,1,1,1,8,21,1:19.154,1
62,1077,844,16,2,2,2,7,21,1:19.044,1
63,1077,815,11,7,3,3,6,21,1:19.012,1
64,1077,832,55,10,4,4,5,21,1:19.251,1
65,1077,846,4,3,5,5,4,21,1:20.030,1
66,1077,817,3,6,6,6,3,21,1:20.328,1
67,1077,822,77,8,7,7,2,21,1:20.219,1
68,1077,825,20,4,8,8,1,21,1:20.557,1
69,1077,4,14,5,9,9,0,21,1:20.639,1
70,1077,854,47,12,10,10,0,21,1:20.567,1
71,1077,847,63,11,11,11,0,21,1:20.756,1
72,1077,852,22,16,12,12,0,21,1:20.909,1
73,1077,20,5,9,13,13,0,21,1:21.044,1
74,1077,1,44,13,14,14,0,21,1:20.663,1
75,1077,840,18,15,15,15,0,21,1:20.948,1
76,1077,839,31,19,16,16,0,21,1:20.995,1
77,1077,842,10,17,17,17,0,21,1:20.599,1
78,1077,848,23,20,18,18,0,21,1:21.020,1
79,1077,849,6,18,19,19,0,21,1:21.437,1
80,1077,855,24,0,\N,20,0,0,\N,31
81,1084,830,1,1,1,1,8,23,1:08.455,1
